method,data,,ACC,AUROC,AUPRC,total_cost,long_cost,aux_cost,cw,acw
ACTOR_joint_nowarmup,klg,,0.5645992683737945,0.825129508972168,0.6332476139068604,49.92391,46.954834,2.969074785936015,0.0001,0.0001
ACTOR_joint_warmup,klg,,0.5443132690389092,0.7958384156227112,0.5969743132591248,10.067427,8.575158,1.492268731939576,0.01,0.01
ACTOR_joint_warmup,klg,,0.5453940804788826,0.8020782470703125,0.590833306312561,12.42577,10.933501,1.492268731939576,0.005,0.005
ACTOR_joint_warmup,klg,,0.5703358829398071,0.8252063989639282,0.6360787153244019,32.858135,30.484243,2.373891091517975,0.001,0.001
ACTOR_joint_warmup,klg,,0.5628533422015297,0.8250167369842529,0.6346198320388794,41.119267,38.44766,2.6716096311568407,0.0005,0.0005
ACTOR_joint_warmup,klg,,0.573910874625873,0.8272800445556641,0.6374078989028931,50.91715,47.948074,2.969074785936015,0.0001,0.0001
ACTOR_nowarmup,adni,,0.6024258760107817,0.8182697296142578,0.6842937469482422,4.46,2.96,1.5,0.01,0.01
ACTOR_nowarmup,adni,,0.589622641509434,0.8260614275932312,0.6872761845588684,3.5500002,1.7500004,1.8,0.005,0.005
ACTOR_nowarmup,adni,,0.589622641509434,0.8261024355888367,0.6873205304145813,3.5600004,1.7600003,1.8,0.001,0.001
ACTOR_nowarmup,adni,,0.6017520215633423,0.8242234587669373,0.6918104290962219,7.325,5.225,2.1,0.0005,0.0005
ACTOR_nowarmup,adni,,0.5849056603773585,0.8145862221717834,0.673509418964386,9.625,7.525,2.1,0.0001,0.0001
ACTOR_warmup,adni,,0.578167115902965,0.8215778470039368,0.695156991481781,5.0249996,3.225,1.8,0.01,0.01
ACTOR_warmup,adni,,0.5835579514824798,0.8270867466926575,0.7013446688652039,5.01,3.21,1.8,0.005,0.005
ACTOR_warmup,adni,,0.5808625336927223,0.8217836022377014,0.6982736587524414,6.4225,4.3225,2.1,0.001,0.001
ACTOR_warmup,adni,,0.5929919137466307,0.8269384503364563,0.692268431186676,5.31,3.21,2.1,0.0005,0.0005
ACTOR_warmup,adni,,0.5741239892183289,0.820184051990509,0.6926136612892151,6.775,4.675,2.1,0.0001,0.0001
ACTOR_joint_nowarmup,adni,,0.6266846361185984,0.811648428440094,0.6796577572822571,2.98,1.48,1.5,0.01,0.01
ACTOR_joint_nowarmup,adni,,0.637466307277628,0.818843424320221,0.677099883556366,3.0650003,1.2650003,1.8,0.005,0.005
ACTOR_joint_nowarmup,adni,,0.6307277628032345,0.8133477568626404,0.6715458035469055,3.3650002,1.2650003,2.1,0.001,0.001
ACTOR_joint_nowarmup,adni,,0.6401617250673854,0.8191466927528381,0.6878792643547058,9.8425,7.7425,2.1,0.0005,0.0005
ACTOR_joint_nowarmup,adni,,0.6347708894878706,0.8249122500419617,0.6836550831794739,3.9550002,1.8550003,2.1,0.0001,0.0001
ACTOR_joint_warmup,adni,,0.6004043126684636,0.7907523512840271,0.6414826512336731,2.8,1.0,1.8,0.01,0.01
ACTOR_joint_warmup,adni,,0.6307277628032345,0.8116188049316406,0.6716303825378418,2.94,1.14,1.8,0.005,0.005
ACTOR_joint_warmup,adni,,0.6516172506738545,0.8242533802986145,0.6827355027198792,5.335,3.235,2.1,0.001,0.001
ACTOR_joint_warmup,adni,,0.6563342318059299,0.8244612216949463,0.6819421648979187,5.585,3.485,2.1,0.0005,0.0005
ACTOR_joint_warmup,adni,,0.6495956873315364,0.8229256272315979,0.6781600117683411,12.635,10.535,2.1,0.0001,0.0001
ACTOR_nowarmup,ILIADD,,0.3774267100977199,0.1718902736902237,0.4511156380176544,24.798046,19.051304,5.746742671009772,0.01,0.01
ACTOR_nowarmup,ILIADD,,0.36589576547231273,0.17662005126476288,0.46115460991859436,27.821499,21.074757,6.746742671009772,0.005,0.005
ACTOR_nowarmup,ILIADD,,0.37521172638436484,0.1791454702615738,0.4645211398601532,38.421333,26.674593,11.746742671009772,0.001,0.001
ACTOR_nowarmup,ILIADD,,0.37521172638436484,0.17142099142074585,0.4554766118526459,41.93518,29.188437,12.746742671009772,0.0005,0.0005
ACTOR_nowarmup,ILIADD,,0.3585667752442997,0.18330378830432892,0.4784637987613678,44.634853,30.888111,13.746742671009772,0.0001,0.0001
ACTOR_warmup,ILIADD,,0.33175895765472313,0.17270469665527344,0.43099769949913025,19.741858,13.995114,5.746742671009772,0.01,0.01
ACTOR_warmup,ILIADD,,0.3342671009771987,0.16679680347442627,0.42520084977149963,28.74316,15.996417,12.746742671009772,0.005,0.005
ACTOR_warmup,ILIADD,,0.34822475570032574,0.1827418953180313,0.4640175402164459,37.65228,22.905537,14.746742671009772,0.001,0.001
ACTOR_warmup,ILIADD,,0.35107491856677525,0.18426825106143951,0.46680426597595215,39.56645,23.819706,15.746742671009772,0.0005,0.0005
ACTOR_warmup,ILIADD,,0.3521009771986971,0.18436752259731293,0.46840348839759827,42.740227,26.993484,15.746742671009772,0.0001,0.0001
ACTOR_joint_nowarmup,ILIADD,,0.5789902280130294,0.16964907944202423,0.43356287479400635,7.999512,0.9995122,7.0,0.01,0.01
ACTOR_joint_nowarmup,ILIADD,,0.5789902280130294,0.16448776423931122,0.4187149703502655,12.746254,0.9995122,11.746742671009772,0.005,0.005
ACTOR_joint_nowarmup,ILIADD,,0.667084690553746,0.2134830355644226,0.6104997396469116,41.876873,23.383389,18.493485342019543,0.001,0.001
ACTOR_joint_nowarmup,ILIADD,,0.6657328990228013,0.21551513671875,0.619195282459259,47.20961,28.716124,18.493485342019543,0.0005,0.0005
ACTOR_joint_nowarmup,ILIADD,,0.6657654723127036,0.2160567194223404,0.6226006150245667,54.301464,34.80798,19.493485342019543,0.0001,0.0001
ACTOR_joint_warmup,ILIADD,,0.6410260586319219,0.20960554480552673,0.5851370692253113,16.997068,9.997068,7.0,0.01,0.01
ACTOR_joint_warmup,ILIADD,,0.5810749185667753,0.18995295464992523,0.5127999186515808,15.744951,2.9982085,12.746742671009772,0.005,0.005
ACTOR_joint_warmup,ILIADD,,0.679185667752443,0.21839646995067596,0.6333234310150146,39.924755,22.178013,17.746742671009773,0.001,0.001
ACTOR_joint_warmup,ILIADD,,0.6826384364820847,0.22028428316116333,0.6469810009002686,49.600327,31.10684,18.493485342019543,0.0005,0.0005
ACTOR_joint_warmup,ILIADD,,0.6867263843648208,0.22184671461582184,0.6482353806495667,60.535015,41.04153,19.493485342019543,0.0001,0.0001
